Zeitstempel,Wassertemperatur,Lufttemperatur,Luftfeuchtigkeit
2023-11-02T05:14:12.969Z,37.00,20.00,60.00
2023-11-02T05:14:13.968Z,37.00,20.00,60.00
2023-11-02T05:14:14.969Z,37.00,20.00,60.00
2023-11-02T05:14:15.971Z,37.00,20.00,60.00
2023-11-02T05:14:16.973Z,37.00,20.00,60.00
2023-11-02T05:14:17.973Z,37.00,20.00,60.00
2023-11-02T05:14:18.975Z,37.00,20.00,60.00
2023-11-02T05:14:19.976Z,37.00,20.00,60.00
2023-11-02T05:14:20.978Z,37.00,20.00,60.00
2023-11-02T05:14:21.979Z,37.00,20.00,60.00
2023-11-02T05:14:22.980Z,37.00,20.00,60.00
2023-11-02T05:14:23.982Z,37.00,20.00,60.00
2023-11-02T05:14:24.984Z,37.00,20.00,60.00
2023-11-02T05:14:25.984Z,37.00,20.00,60.00
2023-11-02T05:14:26.985Z,37.00,20.00,60.00
2023-11-02T05:14:27.987Z,37.00,20.00,60.00
2023-11-02T05:14:28.989Z,37.00,20.00,60.00
2023-11-02T05:14:29.990Z,37.00,20.00,60.00
2023-11-02T05:14:30.991Z,37.00,20.00,60.00
2023-11-02T05:14:31.992Z,37.00,20.00,60.00
2023-11-02T05:14:32.994Z,37.00,20.00,60.00
2023-11-02T05:14:33.995Z,37.00,20.00,60.00
2023-11-02T05:14:34.996Z,37.00,20.00,60.00
